,file,artist,title,lyrics
0,TRAWLGG128F42884CA.h5,Usher,Pianolude,"Can I love you darling,
Can I love you darling,
Ladies are you in there (yeah, yeah, yeah, yeah, yeah),
Said ladies are you in there (yeah, yeah, yeah, yeah, yeah),
Can I love you darling,

Chattanooga are you in there (yeah, yeah, yeah, yeah),
Said Chattanooga do you hear me (yeah, yeah, yeah, yeah),
Can I love you darling,
Can I love you darlin' love,

Ladies are you in there (yeah, yeah, yeah, yeah, yeah),
Said ladies do you hear me (yeah, yeah, yeah),
Can I slow it down"
1,TRAIQDI128F92E8E1F.h5,Seal,Still Love Remains (Album Version),"How will I stand if you turn out the light
That shines over me, that shines over me?
And how will I live if you take all the give
That you have for me, that you have for me?

Without so madly
Without so fast
Yet still we
Remain

How will I love if you take all the life
From out of me, right from out of me?
Tell me, how will I live if you take all the give
That you give to me?

We burned so brightly
Love so fast
Yet still we remain

Oh
Oh

'Cause we'll live
And we give
Today

I, yeah
But don't'cha know?
You know, you know, you know
I know you know
And I said, oh, yeah
But don't'cha know?
You know, you know, you know
I know you know
And I said, oh, yeah
But don't'cha know?
You know, you know, you know
I know you know

Tell me how will I live with anyone but you, babe?
Anyone but you, babe?
With anyone but you?
With anyone but you?
With anyone but you?"
2,TRAHQNV12903CECAB0.h5,Terminal 11 feat. b.b0Nd,In Place Of Love [edit],
3,TRAUVAQ128F92DC677.h5,Fake Problems,Tabernacle Song,"We've almost got job security,
At least there's a roof over our heads.
There are beds in our rooms,
And warm plates of food
Waiting to be had.

We're not asking 
If they want anything,
But we'll take 
What you can give.
I can honestly say
At this point in my life,
I'm grateful for what I get.

So hey,
Why am I trying to escape,
When everything I need is right here
At home?

I read that every good sermon
It starts with a story
To reel the audience in.
But I've got no life experience,
Just this terrible fear
That I'll captivate anything.
If I really have your attention
I'm desperate for the affection
Of a full capacity room.
As sweat seeps from my pores
I race for the door
And don't want it anymore.

So hey,
Why am I trying to escape,
When everything I need is right here?

But the neighbors just called
You didn't make it that far.
They saw ya picking flowers 
From their yard.
Well hip, hip, hooray
What a wonderful escape.
And the way that I see
I see nothing at all,
I'm blindfolded in the backseat
Of a car.
Just drop me somewhere,
I can't retrace my steps.

Can I come back yet
To the only place
That clears my head?
To my home.

Yes, I learned my lesson,
But I'll always be restless,
I can assure you of that.
Even in the kingdom of heaven
I'll be asking the question,
""What's it like in hell""?"
4,TRAOOQN12903CEB763.h5,Dottie Rambo_ The Whites,New Shoes,
5,TRAUYXI12903CC7355.h5,Oh No,Soul of Ethiopia,
6,TRAPUVW128F42980AD.h5,Orbital,I Don't Know You People,
7,TRATTGP128F932854B.h5,Vince Guaraldi,Corcovado,
8,TRAFXCL128F92E7FFD.h5,André Verchuren,Aviatic,
9,TRAXFBO12903CDFCFC.h5,Slackbaba,And The Beat Goes Om,
