file,artist,title,lyrics,tags,mood,year
TRABNEX128F92C9DEA.h5,Kings Of Leon,Knocked Up,"I don't care what nobody says, we're gonna have a baby
Taking off in a Coupe de Ville, she's buckled up on navy
She don't care what her momma says, no, she's gonna have my baby
I'm taking all I have to take 'cause taking's gonna shape me

People call us renegades 'cause we like living crazy
We like taking on the town because people's getting lazy
I don't care what nobody says, no, I'm gonna be her lover
Always mad and usually drunk, but I love her like no other

And the doctor seems to say he don't know
Where we're gonna go
I'm a ghost and I don't think I quite know
Where we're gonna go
Where we're gonna go

People call us renegades 'cause we like living crazy
We like taking on this town 'cause people's getting lazy
I don't care what nobody says, no, I'm going to be her lover
Always mad and usually drunk, but I love her like no other

And her daddy seems to say he don't know
Where we're gonna go
I'm a ghost and I don't think I quite know
Where we're gonna go
Where we're gonna go
Where we're gonna go
Where we're gonna go
Where we're gonna

People call us renegades
We like taking on this town

I don't care what nobody says, we're gonna have a baby
Taking off in a Coupe de Ville, she's buckled up on navy
She don't care what her momma says, no, she's gonna have my baby
I'm taking all I have to take 'cause taking's gonna shape me","['rock', 'indierock', 'indie', 'SouthernRock', 'kingsofleon', 'alternativerock', 'alternative', 'american', '00s', 'seenlive', 'GarageRock', 'beautiful', 'Mellow', 'Love', '2007', 'Awesome', 'malevocalists', 'lovedbygdchill', 'chill', 'favorites', 'Driving', 'Favorite', 'AlternativePunk', 'amazing', 'bestalbumopeners', 'Tennessee', 'AlternativeCountry-Rock', 'catchy', 'bluesrock', 'countryrock', 'Favourites', 'loveatfirstlisten', 'ifuckinglovethissong', 'infectious', 'foot-tapping', 'kol', 'havetoseelive', 'Songforrainyday', 'epic', 'guitar', 'cool', 'malevocalist', 'greatsongs', 'bestof2007', 'wakeup', '<3', 'greatguitar', 'SoundtrackOfMyLife', 'ohhowilovethissong', 'knockedup', 'naturally', 'chillout', 'pop', 'punk', 'hardrock', 'USA', 'post-punk', 'bass', 'atmospheric', 'melancholy', 'mylove', 'Indie-Rock', 'good', 'RockandRoll', 'Nashville', 'relax', 'altrock', 'Loveit', 'us', 'Kings', 'southern', 'bestsongsever', 'tantotempotaste', 'americantradrock', 'songsthatmakeyoushityourpantsinagoodway', 'leapsandloved', 'whatwouldjesuslistento', 'maleleadsingerswithsexyvoices', 'takesmethere', 'SADNESSANDTHECITY', 'KingsOfLeon-KnockedUp', 'imgonnabeherlover']",0,2007
TRAKQXJ128F147A028.h5,AFI,Summer Shudder,"Listen when I say, when I say it's real
Real life goes undefined, why must you be so missable?
Everything you take makes me more unreal
Real lines are undefined, how can this be so miserable?

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

Listen, I can't make, make a sound or feel
Feel fine, I kissed the lies, why must they be so kissable?
Listen as I break, break the fourth wall's seal
Gorgeous eyes shine suicide, when will we be invisible?

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small
This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain, burn
I burned away
Under the summer rain, burn
You turned away","['punkrock', 'rock', 'punk', 'emo', 'AFI', 'alternative', 'alternativerock', 'post-hardcore', 'hardcorepunk', 'metal', 'favorites', 'Awesome', 'melancholy', 'GothicRock', 'seenlive', 'Love', 'beautiful', 'goth', 'catchy', 'Gothic', 'Loveit', 'madden', 'decemberunderground', 'favoritesongs', 'american', 'heardonPandora', 'Pop-punk', '00s', 'emocore', 'summersongs', 'gothpunk', 'thisisnotemo', 'SummerShudder', 'chill', 'FavoriteBands', 'sexy', 'sad', 'hardrock', 'USA', 'memories', 'power', 'cute', 'epic', 'Fusion', 'post-punk', 'winter', 'poppunk', 'screamo', 'mylove', 'FavoriteArtists', 'amazing', 'nostalgic', 'GothicMetal', 'California', 'intense', 'f', 'cool', 'hot', 'depression', 'Favorite', 'altrock', 'poignant', '2006', '8of10stars', 'listenagain', 'electricrhythmguitars', 'minorkeytonality', 'awesomeness', '<3', 'hott', 'gothrock', 'thebest', '5Star', 'Horrorpunk', 'PunkRevival', 'Godlike', 'SubtleUseofVocalHarmony', 'Vocal-CentricAesthetic', 'Lovethissong', 'SonataArctica', 'genial', 'songsIabsolutelylove', 'glamcore', 'MissMurder', 'emopunk', 'completeshit', 'emocrap', 'TracksHeardLive', 'amped', 'poprockqualities', 'subtleuseofstrings', 'sexysingers', 'affliction', 'sawthem', 'Madden2007', 'Madden07', 'mood-driven', 'fuckyeahrock', 'Lieblingsband', 'punkd']",0,2006
TRAYYIN12903CAD8C6.h5,K-OS,Man I Used To Be,"I tried it, I couldn't find it
Now I just wanna get back to me
Oh baby, hoo hoo
Back into the man I used to be

Things that I said I wouldn't do, I did 'em
Secrets below the service of truth I hid 'em
This man kind is past, but can he erase
The tears of a million years is human race
Of animals, that talk and walk upright
Then slave all day and fall in a trance at night
Flowing the planet, trying to find missing links
Like the men we used to be and always suppose to think
Mysteries, maybe not
It's getting hot, we better configure the plot, but
I hold a pen with the grip so tight
That'a squeeze the ink out'ta the page, and write a song for the people
Came up from the underground, now I write above on a hovercraft sound
This microphone, like an an amphetamine
Keeping me clean, speaking in dreams
So nature can intervene, just for a scene

I tried it, I couldn't find it
Now I just wanna get back to me
Oh baby, hoo hoo
Back into the man I used to be

I walk along this path alone, my feet hurt
Lost some friends along the way, I did dirt
I went to church, I tried everything
From leaving my body, to watching the birds sing
For hours, so I could feel heavenly powers
Had been across the universe and inside of flowers
But what is it worth, I'm still just a man on the earth
Rappers are acting like man tan
Can I be candid, I can't stand it
Rap bandit, got heaven acting frantic
I wanna swing my sword decapitate
But what is a man if he acts like an ape
So I sit back, planning my great escape
Load up my EPS and peruse my record crate
The man I used to be, I can only see by looking beyond me
So what is reality, I don't know

I tried it, I couldn't find it
Now I just wanna get back to me
Oh baby, hoo hoo
Back into the man I used to be

Wrong song
You know what
I woke up in the morning
I took a trip to the corner store
That's when I heard my calling
But I'd never heard the voice of truth before
So I kept on walking
Pretended I didn't see
Walked by a window and my reflection said to me
You could try all the same
But you'll never know this mystery
There's no pilot on your plane
So you're not the man you used to be
Try all the game, but you'll never know this mystery
When your pilot has no plane
Said you're the man you used to be seen
Holla and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Yo, microphones get ripped holding us back
K dash rocking it out, rocking the cold style
Making it up, go along singing my song
Woke up, in the early morn didn't know what was going on
Whatever, I don't really know
Flows like an immaculate goat what up, whatever","['Hip-Hop', 'Canadian', 'hiphop', 'k-os', 'rap', 'pop', 'hiphop', 'brilliant', 'chill', '00s', 'RapHip-Hop', 'damnthisisanoverlygoodtrackheckitcantbelegaltomakesuchagoodtrackitsjustamazing', 'Soundtrack', 'chillout', 'trip-hop', 'indie', 'soul', 'femalevocalists', 'downtempo', 'singer-songwriter', 'canada', 'funk', 'groove', 'melancholy', 'rnb', 'poetic', 'iamapartygirlhereismysoundtrack', '2005', 'underground', 'FUCKINGAWESOME', 'chillin', 'trackofdaweek', 'radio-andree', 'singalong', 'danceparty', 'overplayed', 'mymix', 'GreatestSongs', 'IonBradio', 'MyRadio', 'goodhiphop', 'Alltimefavourite', 'floetry', 'mylifesoundtrack', 'b-boystance', 'hiphophead', 'feelingfunky', 'politicallyconscious', 'nicetrack', 'electronic-lounge', 'Favoris', 'msinger-songwriter', 'MusicArtistsIlove', 'musictoplayatmyfuneral', 'stumbledupon', 'shitiadore', 'myhotlist', 'bestof04', 'walkmanmusic', 'TylerAdam', 'stargazer', 'myhiphop', 'new2', 'stargazergenre', 'christophersradio', 'songswithbiginfluenceonme', 'dasgewisseetwas', 'VitaminM', 'duundich', 'kos', 'williamhopkins', 'adidasBOUNCE']",0,2004
TRAKHYP128E0792F07.h5,Patty Griffin,Moses,"Diamonds, roses I need Moses
To cross this sea of loneliness, part this red river of pain
I don't necessarily buy any key to the future or happiness
But I need a little place in the sun sometimes or I think I will die

But everywhere is somewhere and nowhere is near
Everybody got somebody with their wine and their beer
So I'm just this tragic figure in the corner over here
With an empty apartment and a best friend who is a queer

Every time I see him he smiles 
And tells me how well he is walking these miles
But he never ever asks a single thing about me
If I die he'd hear about it eventually

Diamonds, roses I need Moses
To cross this sea of loneliness, part this red river of pain

An everywhere is somewhere and nowhere is near
Everybody got somebody with their wine and their beer
So I'm just this tragic figure in the corner over here
Go home to an empty apartment and call a best friend who is queer

Diamonds, roses, I need Moses
To cross this sea of loneliness, part this red river of pain
To cross this sea of loneliness, part this red river of pain
To cross this sea of loneliness, part this red river of pain, of pain","['femalevocalists', 'folk', 'acoustic', 'Alt-country', 'singer-songwriter', 'beautiful', 'guitar', 'Mellow', 'melancholy', 'Favorite', 'repeat', 'female', 'rock', 'alternative', 'favorites', 'contemporaryfolk', 'americana', 'longing', 'peaceful', 'water', 'pretty', 'relaxing', 'intimate', 'quiet', 'femalevocalist', 'altcountry', 'singersongwriter', 'lonely', 'Favourites', 'lovely', 'vocalist', 'angst', 'girlpower', 'toget', 'grace', 'AngelicVoices', 'altsingersongwriter', 'mylifesoundtrack', '131', 'forUndin', 'contemporarysingersongwriter', 'banuianthem', 'abriefhistoryofbanui', 'ImpeccableSinger-Songwrtiers', 'apluscoop', '5timesorless', 'mindy', 'girlienostalgic']",0,1996
TRAVXII128F92FCC6D.h5,Stephen Marley,Mind Control,"Yeah, yeah, yeah
Now tell you what

It's mind control, mind control
Corruption of your thoughts (yeah), destruction of your soul
Mind control, it's mind control
Corruption of your thoughts (yeah), destruction of your soul

Don't let them mould your mind, they want to control mankind
Seems like their only intention is to exploit the earth (hey)
And you trust in their deceit, your mind causes your defeat
And so you become an invention to distort this earth

Propaganda and lies, is a plague in our lives
How much more victimised, before we realise (hey)

It's mind control, mind control
Corruption of your thoughts (yeah), destruction of your soul
Mind control, it's mind control
Corruption of your thoughts (yeah), destruction of your soul

Ooh grand master, let the people go
You put them in total confusion, to downs-troy their soul
For they practise what you preach, so they're always in your reach
High-tech slavery in these days, it's mind control

They'll make it attractive, to get man distracted
Corrupting your, polluting your
Destroying (your soul, mind control)
Mind control
Corruption of your thoughts (yeah), destruction of your soul
Mind control, it's mind control
Corruption of your thoughts (yeah), destruction of your soul

Come on and, get it together brother man
What, what you say?
Yeah

It's mind control, mind control
Corruption of your thoughts (yeah), destruction of your soul
Mind control, it's mind control
Corruption of your thoughts (yeah), destruction of your soul

(The truth is there for us to see)
It's mind control, mind control
Corruption of your thoughts (yeah), destruction of your soul
(The truth is there for us to see)
Mind control, it's mind control
Corruption of your thoughts (yeah), destruction of your soul

(The truth is there for us to see)
(The truth is there for us to see)
(The truth is there for us to see)","['reggae', 'stephenmarley', 'rootsreggae', 'marley', 'jamaica', 'heavyrotation', 'chill', 'rock', 'soul', 'ragga', 'dancehall', 'marijuana', 'Protest', 'happiness', 'Hip-Hop', 'punk', 'singer-songwriter', 'ska', 'funky', 'Like', 'loved', 'truth', 'essentials', 'metroreggae', 'Madrid', 'conscious', 'Rasta', 'raggamuffin', 'favouritestreamable', 'awesomeartist', 'RootsRockReggae', 'lieblinge', 'Reggaefunk', 'OpelMelange', 'goodriddim', 'favouritereggae', 'kmem8100', 'reggae-roots', 'bringthesystemdown', 'cariblat', 'Reg-i-die', 'Ladenmusik', 'ReggaePearls', 'AnfieldRapFM', 'Reggaetag', 'stephenmarly-mindcontrol', 'cleoritz', 'gimmesummarley']",1,2005
TRASWPD128F42B4F7B.h5,Rihanna,We Ride,"Ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

It's real late, 'bout a quarter to one
Thinking about everything we become
And I hate it
I thought we could make it

But I'm ready to dead this
Just wanna forget about it
I saw her pictures
And the letters she sent

You had me thinking
You were out with your friends
I'm so foolish
Play me like I'm stupid
'Cause I thought it was just you and I

Now I look back on the time
That we spent and I
See it in my mind
Playing over and over again

'Cause boy right now
You got me breaking down
And I just can't figure out why
But this is what you say

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

Visions in my mind
Of the day that we met
You showed me things
That I'll never forget

Took me swimming
In the ocean
You had my head up in the clouds
Made me feel like I'm floating
You think I'm playing

When you know it's the truth
Nobody else can do it quite like I do
All my kisses
And my loving
But ain't nobody better than us

Now I look back on the time
That we spent and I
See it in my mind
Playing over and over again
'Cause boy right now
You got me breaking down
And I just can't figure out why

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

I guess it's over indefinitely
But you and I know
It's not that easy to let go
Of everything that we planned
And start all over again

Just blame yourself 'cause you blew it
I won't forget how you do it
Sweet baby this is where the game ends now
Somehow wanna believe you and me
We can figure it out

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

You finna make me say boy
I wish that you come hold me
When I'm lonely
When I need someone to talk to

You would phone me
Just like everything you told me
(When we ride we ride, it's till the day we die)
Boy you forgot about the promises you made me
And now we'll let the memories just fade away
But I remember what you used to say
(When we ride we ride, it's till the day we die)

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

We ride, when we ride we ride
It's till the day we die
We ride, when we ride we ride
It's till the day we die

We ride","['rnb', 'Rihanna', 'pop', 'femalevocalists', 'Hip-Hop', 'r&b', 'dance', 'soul', 'weride', 'weridebyrihanna', 'sexy', 'Love', '2006', '00s', 'female', 'hiphop', 'cute', 'RB', 'summer', 'nice', 'hottie', 'mymusic', 'Agirllikeme', 'reggae', '2009', 'favorites', 'energy', 'calm', 'catchy', 'urban', 'beautiful', 'american', 'smooth', 'melancholy', 'dancehall', 'slowjams', 'comforting', '""rnb""', 'barbadian', 'goodgirlgonebad', 'chill', 'clean', 'slow', 'dance-pop', 'me', 'upbeat', 'club', 'Electronics', 'Mellow', 'top', 'party', 'NYC', 'heardonPandora', 'femalevocalist', 'greatlyrics', 'hot', '2011', 'Favorite', 'top40', 'shit', 'sanfrancisco', 'english', 'sunny', 'Sommer', 'sweet', 'Island', 'Black', 'angel', 'Remember', 'woman', 'Loveit', 'single', 'chillin', 'favoritetracks', 'Girl', 'roc-a-fella', 'southernrap', '6of10stars', 'ballads', 'songsthatmakemecry', 'femalepop', 'stargate', 'dreams', '13', 'Self', 'Rockstars', 'Trl', 'caribbean', 'All', 'heartache', 'ILIKETHISSONG', 'RandB', 'gediegen', 'gut', 'thebest', 'UKtop40', 'TiPPaRaDe', 'Lovethissong', 'janetjackson', 'divas']",1,2006
TRAXDBM128E0785BD8.h5,Missy Higgins,The Special Two (Australian Version),"I've hardly been outside my room in days,
'Cause I don't feel that I deserve the sunshine's rays.
The darkness helped until the whiskey wore away,
And it was then I realized that conscience never fades.
When you're young you have this image of your life:
That you'll be scrupulous and one day even make a wife.
And you make boundaries you'd never dream to cross,
And if you happen to you wake completely lost.
But I will fight for you, be sure that
I will fight until we're the special two once again.

And we will only need each other, we'll bleed together,
Our hands will not be taught to hold another's,
'Cause we're the special two.
And we could only see each other, we'll breathe together,
These arms will not be taught to need another's,
'Cause we're the special two.

I remember someone old once said to me:
That lies will lock you up with truth the only key
But I was comfortable and warm inside my shell,
And couldn't see this place could soon become my hell.
So is it better to tell and hurt or lie to save their face?
Well I guess the answer is don't do it in the first place.
I know I'm not deserving of your trust from you right now,
But if by chance you change your mind you know I will not
Let you down 'cause we were the special two, and will be again.

And we will only need each other, we'll bleed together,
Our hands would not be taught to hold another's,
'Cause we're the special two.
And we could only see each other we'll breathe together,
These arms will not be taught to need another's
'Cause we're the special two.

I step outside my mind's eyes for a minute.
And I look over me like a doctor looking for disease,
Or something that could ease the pain.
But nothing cures the hurt you bring on by yourself,
Just remembering, just remembering how we were

And we would only need each other, we'd bleed together,
These hands would not be taught to hold another's,
We were the special two.
And we could only see each other we'd bleed together,
These arms would not be taught to need another's
'Cause we're the special two.","['Love', 'depressing', 'Go', 'femme', 'TheSpecialTwo']",0,0
TRARFWJ128F9339D70.h5,Maximilian Hecker,Birch,"You're the goddess of my daydreams
You're the diving suit to my body
You're the one I will never touch
You're the swanlike birch

Recompense me for my longing
Sugar-coat and eat me, my Venus
Cleanse my blood with your juice
Like a swanlike birch

You're the goddess of my daydreams
You're the diving suit to my body
You're the speed I lack when I'm fleeing
You're the hiding place for my torn heart
You're the one I will never touch
You're the swanlike birch","['indie', 'indiepop', 'singer-songwriter', 'german', 'GermanIndie', 'calm', 'acoustic', 'melancholic', 'pianorock', 'relax', 'Dream', 'sleepy', 'depressive', 'germanartists', 'sol', 'Hecker', 'airypop', 'oneofthebestballadsever', 'littlesongsong', 'classicalpianosmotions', 'grayishmood', 'dreamlandedillusion']",0,2005
TRAHZMM128E07838FF.h5,Wet Wet Wet,Goodnight Girl,"You hear me so clearly
And see how I try
So you feel me, So heal me
And tear me apart

And I won't tell a soul
I won't tell at all
And do they have to know, do they have to know
About my Goodnight Girl

Caught up in your wishing well
Your hopes inside it
Take your love and promises
And make them last
You make them last, make them last, make them last

You keep me so near you
And see me so far
And hold me and send me
And deep in your heart

And I won't tell a soul (I won't tell a soul)
I won't tell at all (I won't tell at all)
And I won't let them know (I won't let them know)
About my Goodnight Girl

Caught up in your wishing well
Your hopes inside it
Take your love and promises
And make them last
You make them last
Caught up in your wishing well
Your hopes inside it
Take your love and promises
And make them last
You make them last

Doesn't matter how sad
I made ya
Doesn't matter how hard
I try

Just remember the same
Old reason
Reflected in your eyes
You said you wanted me, hmmm

Caught up in your wishing well
Your hopes inside it
Take your love and promises
And make them last
You make them last
Caught up in your wishing well
Your hopes inside it
Take your love and promises
And make them last
You make them last","['pop', '90s', 'wetwetwetgoodnightgirl', 'wetwetwet', 'romantic', 'easylistening', 'british', 'oldies', 'sad', 'calm', 'night', 'peaceful', 'Mellow', 'soft', 'malevocalists', 'lovesongs', 'top40', 'SimpleMinds', 'sweet', 'wrongtrackstreaming', 'uknumberone', 'kuschelrock', 'restarea', 'classicrock', 'chillout', 'downtempo', 'Love', 'acoustic', 'softrock', 'beautiful', 'lovesong', 'melancholy', 'melancholic', 'malevocalist', 'Ballad', '4', '1992', 'dido', 'misc', 'lonelinessafterdusk', 'allthebest', 'wolo999', '1990s', 'easy', 'tenderness', 'BobMarley', 'sadness', 'lovesongs', 'favouritetracks', 'MyFavorites', 'minor', '80er', 'boybands', '2of10stars', '90spop', 'numberonehits', 'SweetLove', 'Goodnight', 'TheBestOfAll', 'ForHer', 'badtitle', 'BestSongsofthe90s', 'Top100UKhitsofthe90s', 'BremsTaggradio', 'Relaxingsounds', 'warmfeelings', 'candlelightmusic', 'eveningfortwo', '90-NINETIES', 'loveisallaround', 'thatgirl', 'anoldfashionedwomanlikeme', 'stupidlyromantic', 'lettherebelove', 'popromantico', 'Party-Smoochin', 'rockoteka', 'musictotopyourselfby', 'SimpleRed', 'RadioSaturday', 'fhEasy', 'ghfgh', 'ikben', 'steadyaway', 'Roffmansrecommended', 'fHProjex', 'pergossa', 'loolaby', 'JavierFavoritos', 'orangesong', 'retrorelax', 'poptop100', 'wetwetwet-goodnightgirl', 'carolinawirsehenunsimhimmelwieder', 'linoldie']",0,1992
TRAOGHG12903CA3B89.h5,Usher,Moving Mountains,"It's like whatever I do
Ooh
Just can't get through to you
Ooh, ooh, ooh, ooh, oh

Now, now she loved me, shawty I loved her
Used to jump up in the maybach and roll out
Used to care, she used to share
The love that she used to give me can't be found
I lost my way, she said she'd stay
And lately I've been sleeping with a ghost
My stock is down and out, I used to be worth my weight in gold
That was before a great depression kicked in and rocked us
And that was before the hurricane came in and stopped us
I told you to leave, but you lied to me
When you said that, ""baby no worries I promise to get us back"".

I know sorries, just wouldn't do it
Her heart is obliterated, I'm trying to travel through
But it's like moving mountains...
It's like moving mountains... hey.
But I keep climbing and hoping things would change
And the sky turns gray, and the water from the rain washes progress away.
It's like moving mountains...
It's like moving mountains...
Why just leave me?
Just leave me be.
Just leave me.
Just leave me be.
Why you just leave me
Just leave me be.
Why you just leave me
Just leave me be, ooh.

She, she don't touch me, I don't touch her
We rarely even ever say a word.
I really want to give her everything she deserves
But the bad took away the good.
She thinks that I'm full of it, arguments, always pissed, man I'm tired
Every kiss that I miss, girl you know I'm trying.
You never believe when I say, and I never believe it when you say
I love you, and I shouldn't complain about it
I should take it like a man and walk up out it
'Cause we will never be the same, ooh.
I've been standing in gas, and you have been the flame.

I know sorries just wouldn't do it
Her heart is obliterated, I'm trying to get through
Got to move this mountain.
It's like moving mountains... hey
But I keep climbing and hoping things would change
And the sky turns gray, and the water from the rain washes progress away
It's like moving mountains...
It's like moving mountains...
Well baby why you just leave me?
Just leave me be.
Just leave me.
Just leave me be.
Why you just leave me.
Just leave me be.
Why you just leave me.
Just leave me be, ooh.

This must be a slow death that I'm travelin on
It feels so wrong, I'm barely holdin' on

See no matter what it takes, I've gotta get it together (baby yeah)

And these hills that I'm travelin up
She ain't showin me love
I'm down on my love

I know sorries just wouldn't do it
Her heart is obliterated, I'm trying, I'm trying my boo
But it's like moving mountains...
It's like moving mountains... hey.
But I keep climbing and hoping things would change
And the sky turns gray, and the water from the rain washes progress away
It's like moving mountains...
It's like moving mountains...
Well baby why you just leave me?
Just leave me be.
Just leave me.
Just leave me be.
Why you just leave me.
Just leave me be.
Why you just leave me.
Just leave me be, ooh.","['rnb', 'Usher', 'soul', 'r&b', 'favorites', 'malevocalists', 'hiphop', 'pop', '00s', 'slowjams', '2008', 'emotional', 'slowjamz', 'Hip-Hop', 'sexy', 'Love', 'american', 'malevocalist', 'greattitle', 'slowjamstag', 'ilistenedtoitoverandoveragain', 'The-Dream', 'melancholysongs', 'hereIstand', 'beste', 'sadpatheticlife', 'movingmountains', 'makesmemisshim', 'rnbcontemporain', 'summer', 'hiphop', 'party', 'comedy', 'amazing', 'lovesongs', 'soulful', 'shit', 'english', '2000s', 'favs', 'sage', 'tragic', 'singles', 'depressive', '""rnb""', 'heartbroken', 'urbanpop', 'cooldown', 'totally', 'magnificent', 'Mostplayed', 'christrickystewart', 'trickystewart', 'criticallyacclaimedsong', 'acclaimedmusictop1100of2008', 'saddays', 'fran', 'thesingles', 'idiosyncrasies', 'likethatbeat', 'rapsoul', 'malefavorites', 'us-singer', 'Best2oo8', 'thisiswhatheartachesoundslike', 'ctrickystewart', 'luved', 'mihermano', 'UsherRNB', '10srnb', 'Usher-MovingMountains', 'i7amar14', 'denemeposeidonqqq', 'harmonizationonpoint']",0,2008
